HAL_NAME, HAL_OWNER, HIDL, AIDL, AIDL_VERSION, FROZEN
vendor.qti.ims.imscmaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.rcssipaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.rcsuceaidlservice,qti,,x,"=""1""",true 
vendor.qti.ims.uceaidlservice,qti,,x,"=""1""",true 
vendor.qti.latencyaidlservice,qti,,x,"=""1""",true 
vendor.qti.memory.pasrmanager,qti,,x,"=""1""",true 
vendor.qti.qccsyshal_aidl,qti,,x,"=""1""",true 
vendor.qti.qccvndhal_aidl,qti,,x,"=""1""",true 
vendor.qti.qepi,qti,,x,"=""1""",true 
vendor.qti.qesdhalaidl,qti,,x,"=""1-2""",true 
vendor.qti.qesdsys,qti,,x,"=""1-4""",true 
vendor.qti.qspmhal,qti,,x,"=""1""",true 
vendor.qti.qvirtvendor,qti,,x,"=""1""",true 
vendor.qti.snapdragonServices,qti,,x,"=""1""",true 
vendor.qti.snapdragonServices.qape,qti,,x,"=""1""",true 
vendor.qti.snapdragonServices.sanityService,qti,,x,"=""1""",true 
vendor.qti.syshealthmon,qti,,x,"=""1""",true 
